recipe_name,recipe_code,source_file,source_line_no,source_ingredient_name,source_quantity,source_unit,source_servings,upload_ingredient_name,upload_item_code,upload_quantity_for_1_serving,upload_unit,match_status,source_note
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,1,Instant Coffee Powder,200.0,g,100,TAFGA NESCAFE CLASIC COFFEE 12/200G,262233,2,g,mapped,
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,2,Coffee Mate Powder,400.0,g,100,A-TAFGA NESTLE COFFEEMATE COFE 15/400G,262241,4,g,mapped,
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,3,White Sugar,400.0,g,100,AL OSRA SUGAR FINE 10/2KG,176065,4,g,mapped,
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,4,Hot Water,14.2,l,100,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,0.142,l,mapped,
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,5,Tang Powder,2.5,kg,100,TAFGA TANG ORANGE 6/2 KG,369549,25,g,mapped,
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,6,Cold Water,18.5,l,100,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,0.185,l,mapped,
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,1,Waxy Potatoes,6.5,kg,100,POTATO (LOCAL),PR000022,65,g,mapped,
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,2,Carrots,1.8,kg,100,CARROT (AUSTALIA/CHINA),PR000026,18,g,mapped,
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,3,Eggs,40.0,pieces,100,SAEDCO FRESH EGGS MEDIUM 12/30 CT,142110,0.4,pieces,mapped,
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,4,Cooked Ham or Chicken,1.2,kg,100,TANMIAH FRESH CHICKEN 1/900G,205101,12,g,mapped,
