item_group,ingredient_code,sku,ingredient_name,unit,unit_price,cooking_yield_percent,calories_per_100g,allergens,package_base_quantity,package_base_unit,package_parse_source
SEAFOOD,144669,144669,TAFGA WHITE / HAMOUR FISH FILLET  1/1KG,KG,10.4502168852459,80,206,fish,,,
GROCERY,145008,145008,A-TAFGA REHAN JELLY S/BERRY 4/3KG,EA,25,100,120,none,,,
GROCERY,147040,147040,TFG NIAZ BAY LEAVES 1/1KG,CS,15.2603333333333,100,120,none,,,
GROCERY,147042,147042,AL NASEEL TAFGA P/P WALNUT 1/1KG,CS,40.5726,100,120,tree nuts,,,
GROCERY,147047,147047,TFG NIAZ LEMON DRY 1/1KG,CS,14.7425,100,120,none,,,
GROCERY,153319,153319,MAWASIM SARDINES TOM/SCE 100/155G,EA,2.28001422319475,100,120,none,,,
DAIRY,153758,153758,A-TAFGA BONNY MILK EVAP 96/170G,EA,2.18678192307692,100,61,milk,,,
GROCERY,154783,154783,TAFGA SB FRENCH FRIES 4/2.5KG,EA,13.56375,100,120,none,,,
GROCERY,155583,155583,A-TAFGA ADELCO HAREES TURKEY 1/10KG,KG,4.310558,100,120,none,,,
OPERSUPPLY,159935,159935,SANDWICH PAPER 20/500CT,PAK,5.27815263157895,100,0,none,,,
GROCERY,161290,161290,A-TFGA AFFCO TOMATO KETCHUP 4/5KG,EA,23.91885,100,82,none,,,
SEAFOOD,163290,163290,FISH MILK FISH 500/800 /KG,KG,15.410389375,80,206,milk|fish,,,
OPERSUPPLY,164553,164553,TFGA BAMBOO SKEWER 25CM ROSE 1/100CT,CS,1.78453125,100,0,none,,,
DAIRY,164604,164604,TAFGA MARGARINE 1/5/2KG,PAK,23.7500089285714,100,120,none,,,
OPERSUPPLY,165042,165042,KRAFT PAPER BAG #10 1/10KG,KG,7.86335484848485,100,0,none,,,
OPERSUPPLY,165119,165119,GENPACK CONE WATER CUP-US 25/200CT,PAK,6.8272,100,0,none,,,
OPERSUPPLY,165121,165121,STEEL WOOL HEAVY DUTY 1/48CT,EA,1.33333397129187,100,0,none,,,
CHEMICAL,165437,165437,CLOROX BLEA 6/1GALLON,EA,16.3574748387097,100,120,none,,,
GROCERY,166780,166780,TAFGA REHAN SALT IODIZED 24/700G,EA,0.79,100,120,none,,,
CHEMICAL,169246,169246,DIXIE GLASS CLEANER 12/600ML,EA,2.91394473684211,100,120,none,,,
OPERSUPPLY,169798,169798,TAFGA RUBBER HAND GLOVES 10-10.5 12/EA,EA,2.08484970760234,100,0,none,,,
DAIRY,171301,171301,TAFGA SLICED CHEESE 9/800G,EA,17.648204,100,120,milk,,,
OPERSUPPLY,172309,172309,AL HASA TRASH BAG #50 GAL 1/3KG,KG,43.6220142857143,100,0,none,,,
