recipe_name,recipe_code,source_file,removed_ingredient_name,removed_item_code,removed_quantity,removed_unit,reason
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,TAFGA MAGGI CUBES CHICKEN 24/24/20G,102426,18.0,kg,Replaced by source ingredient: TANMIAH FRESH CHICKEN 1/900G
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,TAFGA LUNA TOMATO PASTE 24/400G,103023,6.0,kg,Replaced by source ingredient: TOMATO (ADY)
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,AL MARAI UHT MILF FF 12/1LTR,DR000005,2.0,l,Replaced by source ingredient: TAFGA MARAI COOKING CREAM 12/1LTR
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,350.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,200.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,GREEN PEPPER (LBN),PR000009,5.0,kg,"Replaced by source ingredient: Bell peppers , chopped"
Chicken Korma KBR-384 ONEGO V3,RCP-033-CHICKENKOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Korma.100 PAX.docx,TAFGA MAGGI CUBES CHICKEN 24/24/20G,102426,12.0,kg,Replaced by source ingredient: TANMIAH FRESH CHICKEN 1/900G
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,200.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,TAFGA MAGGI CUBES CHICKEN 24/24/20G,102426,12.0,kg,Replaced by source ingredient: TANMIAH FRESH CHICKEN 1/900G
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,TAFGA LUNA TOMATO PASTE 24/400G,103023,2.0,kg,Replaced by source ingredient: TOMATO (ADY)
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,300.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,BLACK CARDAMON INDIA  1/1KG,GR002526,20.0,g,Replaced by source ingredient: NIAZ CARDAMON 1/1KG
Chicken Tikka KBR-384 ONEGO V3,RCP-037-CHICKENTIK-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,250.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Chicken Tikka KBR-384 ONEGO V3,RCP-037-CHICKENTIK-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,300.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
