recipe_name,recipe_code,source_file,source_line_no,source_ingredient_name,source_quantity,source_unit,upload_ingredient_name,upload_item_code,upload_quantity_for_1_serving,upload_unit,match_status
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,1,Instant Coffee Powder,200.0,g,TAFGA NESCAFE CLASIC COFFEE 12/200G,262233,2,g,preferred_phrase
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,2,Coffee Mate Powder,400.0,g,A-TAFGA NESTLE COFFEEMATE COFE 15/400G,262241,4,g,preferred_phrase
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,3,White Sugar,400.0,g,AL OSRA SUGAR FINE 10/2KG,176065,4,g,preferred_phrase
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,4,Hot Water,14.2,l,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,0.142,l,preferred_phrase
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,5,Tang Powder,2.5,kg,TAFGA TANG ORANGE 6/2 KG,369549,0.025,kg,preferred_phrase
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,6,Cold Water,18.5,l,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,0.185,l,preferred_phrase
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,1,Waxy Potatoes,6.5,kg,POTATO (LOCAL),PR000022,0.065,kg,preferred_phrase
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,2,Carrots,1.8,kg,CARROT (AUSTALIA/CHINA),PR000026,0.018,kg,preferred_phrase
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,3,Eggs,40.0,pieces,SAEDCO FRESH EGGS MEDIUM 12/30 CT,142110,0.4,pieces,preferred_phrase
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,4,Cooked Ham or Chicken,1.2,kg,TANMIAH FRESH CHICKEN 1/900G,205101,0.012,kg,preferred_phrase
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,5,Dill Pickles,1.8,kg,Dill Pickles,RCPMIS-CLEAN-001-DILLPICK,0.018,kg,unmatched
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,6,Green Peas,10.0,pieces,A-TOMEX GREEN PEAS 4/2.5KG,404330,0.1,pieces,preferred_phrase
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,7,Quality Mayonnaise,1.3,l,TAFGA GOODY MAYONNAISE 12/32Z,275962,0.013,l,preferred_phrase
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,8,Fine Salt,52.5,ml,TAFGA REHAN SALT IODIZED 24/700G,166780,0.525,ml,preferred_phrase
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,9,Black Pepper,30.0,ml,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,185836,0.3,ml,preferred_phrase
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,10,Fresh Dill,150.0,ml,Fresh Dill,RCPMIS-CLEAN-002-FRESHDIL,1.5,ml,unmatched
FRUIT SALAD KBR-384 ONEGO V3,RCP-003-FRUITSALAD-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\FRUIT SALAD.docx,1,Watermelon,5.5,kg,WATERMELONS,PR000084,0.055,kg,preferred_phrase
FRUIT SALAD KBR-384 ONEGO V3,RCP-003-FRUITSALAD-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\FRUIT SALAD.docx,2,Cantaloupe or Sweet Melon,4.0,kg,WATERMELONS,PR000084,0.04,kg,preferred_phrase
FRUIT SALAD KBR-384 ONEGO V3,RCP-003-FRUITSALAD-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\FRUIT SALAD.docx,3,Seedless Grapes,3.5,kg,A-TFG FRESHLY FRUIT C/TAIL 6/2.5KG,139845,0.035,kg,preferred_phrase
FRUIT SALAD KBR-384 ONEGO V3,RCP-003-FRUITSALAD-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\FRUIT SALAD.docx,4,Red or Green Apples,15.0,pieces,APPLE (GALA) (USA/ITALY),PR000072,0.15,pieces,preferred_phrase
FRUIT SALAD KBR-384 ONEGO V3,RCP-003-FRUITSALAD-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\FRUIT SALAD.docx,5,Oranges,15.0,pieces,ORANGE (AFRICAN/EGYPT) NAVEL (CLASS A),PR000092,0.15,pieces,preferred_phrase
FRUIT SALAD KBR-384 ONEGO V3,RCP-003-FRUITSALAD-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\FRUIT SALAD.docx,6,Orange Juice,720.0,ml,TFG AL RABIE ORANGE JUCIE 8/1LTR,379405,7.2,ml,preferred_phrase
FRUIT SALAD KBR-384 ONEGO V3,RCP-003-FRUITSALAD-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\FRUIT SALAD.docx,7,Lemon or Lime Juice,360.0,ml,LEMON (AFRICAN/TURKEY),PR000090,3.6,ml,preferred_phrase
FRUIT SALAD KBR-384 ONEGO V3,RCP-003-FRUITSALAD-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\FRUIT SALAD.docx,8,Regular White Sugar,360.0,ml,AL OSRA SUGAR FINE 10/2KG,176065,3.6,ml,preferred_phrase
MIX MELON PORTION KBR-384 ONEGO V3,RCP-004-MIXMELONPO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\MIX MELON PORTION .docx,1,Watermelon,8.5,kg,WATERMELONS,PR000084,0.085,kg,preferred_phrase
MIX MELON PORTION KBR-384 ONEGO V3,RCP-004-MIXMELONPO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\MIX MELON PORTION .docx,2,Sweet Melon / Cantaloupe,6.5,kg,WATERMELONS,PR000084,0.065,kg,preferred_phrase
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\VIP FRUIT SALAD RECIPE .docx,1,Strawberries,4.5,kg,Strawberries,RCPMIS-CLEAN-003-STRAWBER,0.045,kg,unmatched
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\VIP FRUIT SALAD RECIPE .docx,2,whole Pineapples,4.0,pieces,whole Pineapples,RCPMIS-CLEAN-004-WHOLEPIN,0.04,pieces,unmatched
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\VIP FRUIT SALAD RECIPE .docx,3,Seedless Grapes,2.7,kg,A-TFG FRESHLY FRUIT C/TAIL 6/2.5KG,139845,0.027,kg,preferred_phrase
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\VIP FRUIT SALAD RECIPE .docx,4,Kiwis,20.0,pieces,KIWI FRUIT,PR000078,0.2,pieces,preferred_phrase
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\VIP FRUIT SALAD RECIPE .docx,5,Fresh Blueberries,1.5,kg,Fresh Blueberries,RCPMIS-CLEAN-005-FRESHBLU,0.015,kg,unmatched
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\VIP FRUIT SALAD RECIPE .docx,6,Mandarin Oranges or Clementine’s,24.0,pieces,ORANGE (AFRICAN/EGYPT) NAVEL (CLASS A),PR000092,0.24,pieces,preferred_phrase
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\VIP FRUIT SALAD RECIPE .docx,7,Orange Juice,720.0,ml,TFG AL RABIE ORANGE JUCIE 8/1LTR,379405,7.2,ml,preferred_phrase
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\VIP FRUIT SALAD RECIPE .docx,8,Fresh Lime or Lemon Juice,360.0,ml,TFG MOONATY LEMON JUICE 12/1LTR,429366,3.6,ml,preferred_phrase
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\VIP FRUIT SALAD RECIPE .docx,9,Honey,480.0,ml,A-TAFGA SHIFA HONEY 12/500G,132822,4.8,ml,preferred_phrase
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\VIP FRUIT SALAD RECIPE .docx,10,Orange & Lime Zest,45.0,ml,Orange & Lime Zest,RCPMIS-CLEAN-006-ORANGELI,0.45,ml,unmatched
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,1,Dried chickpeas,7.0,kg,AMAL CHICK PEAS # 07 1/15KG,GR003046,0.07,kg,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,2,Onion,5.0,kg,DRY ONION (LOCAL),PR000020,0.05,kg,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,3,Tomato,6.0,kg,TOMATO (ADY),PR000005,0.06,kg,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,4,Green chili,300.0,g,GREEN CHILLI (INDIAN),PR000016,3,g,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,5,Ginger-garlic paste,800.0,g,GARLIC  (CHINA),PR000018,8,g,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,6,Vegetable oil,2.5,l,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,221871,0.025,l,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,7,Cumin seeds,100.0,g,SHAN CUMIN WHOLE  10/1KG,GR000554,1,g,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,8,Bay leaves,20.0,pieces,TFG NIAZ BAY LEAVES 1/1KG,147040,0.2,pieces,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,9,Turmeric powder,120.0,g,SHAN TURMERIC POWDER  10/1KG,GR000043,1.2,g,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,10,Red chili powder,200.0,g,SHAN RED CHILLI POWDER 10/1KG,GR000042,2,g,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,11,Coriander powder,400.0,g,SHAN CORIANDER POWDER  10/1KG,GR000553,4,g,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,12,Cumin powder,200.0,g,SHAN CUMIN POWDER 10/1KG,GR000583,2,g,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,13,Garam masala,150.0,g,SHAN KORMA MASALA 10/1KG,GR001943,1.5,g,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,14,Chana masala spice mix,300.0,g,Chana masala spice mix,RCPMIS-CLEAN-007-CHANAMAS,3,g,unmatched
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,15,Salt,350.0,g,TAFGA REHAN SALT IODIZED 24/700G,166780,3.5,g,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,16,Fresh coriander leaves,1.5,kg,CORIANDER LEAVES (BDL),PR000062,0.015,kg,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,17,Lemon juice,500.0,ml,TFG MOONATY LEMON JUICE 12/1LTR,429366,5,ml,preferred_phrase
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,18,Water,12.0,l,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,0.12,l,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,1,Chana Dal,6.0,kg,A-MELOW INDIAN YELLOW SPLIT CHICK PEAS 1/15KG,386163,0.06,kg,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,2,Onion,2.5,kg,DRY ONION (LOCAL),PR000020,0.025,kg,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,3,Tomato,2.5,kg,TOMATO (ADY),PR000005,0.025,kg,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,4,Ginger-Garlic paste,400.0,g,GARLIC  (CHINA),PR000018,4,g,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,5,Green chili,200.0,g,GREEN CHILLI (INDIAN),PR000016,2,g,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,6,Cooking oil / ghee,1.5,l,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,221871,0.015,l,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,7,Cumin seeds,100.0,g,SHAN CUMIN WHOLE  10/1KG,GR000554,1,g,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,8,Turmeric powder,80.0,g,SHAN TURMERIC POWDER  10/1KG,GR000043,0.8,g,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,9,Red chili powder,120.0,g,SHAN RED CHILLI POWDER 10/1KG,GR000042,1.2,g,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,10,Coriander powder,200.0,g,SHAN CORIANDER POWDER  10/1KG,GR000553,2,g,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,11,Garam masala,100.0,g,SHAN KORMA MASALA 10/1KG,GR001943,1,g,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,12,Salt,250.0,g,TAFGA REHAN SALT IODIZED 24/700G,166780,2.5,g,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,13,Fresh coriander leaves,500.0,g,CORIANDER LEAVES (BDL),PR000062,5,g,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,14,Water,18.0,l,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,0.18,l,preferred_phrase
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,15,Lemon juice,200.0,ml,TFG MOONATY LEMON JUICE 12/1LTR,429366,2,ml,preferred_phrase
Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,RCP-008-DALMASOOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,1,Red Lentils,7.0,kg,A-MELLOW PULSE RED LENTIL 1/15KG,142007,0.07,kg,preferred_phrase
Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,RCP-008-DALMASOOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,2,Water,28.0,l,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,0.28,l,preferred_phrase
Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,RCP-008-DALMASOOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,3,Onion,3.0,kg,DRY ONION (LOCAL),PR000020,0.03,kg,preferred_phrase
Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,RCP-008-DALMASOOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,4,Tomatoes,4.0,kg,TOMATO (ADY),PR000005,0.04,kg,preferred_phrase
Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,RCP-008-DALMASOOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,5,Green Chilies,250.0,g,GREEN CHILLI (INDIAN),PR000016,2.5,g,preferred_phrase
Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,RCP-008-DALMASOOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,6,Ginger-Garlic Paste,500.0,g,GARLIC  (CHINA),PR000018,5,g,preferred_phrase
