item_code,name,ingredient_code,sku,alias,supplier_item_name,unit,category,cuisine_type,cost_per_unit,package_base_quantity,package_base_unit,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,sodium_per_100g,sugar_per_100g,cooking_yield_percent,shrinkage_percent,raw_weight_per_unit,cooked_weight_per_unit,allergens,is_active
169246,DIXIE GLASS CLEANER 12/600ML,169246,169246,,DIXIE GLASS CLEANER 12/600ML,EA,CHEMICAL,,2.913946,0.6,l,0,0,0,0,0,0,100,0,1,1,[],TRUE
189387,COTTAGE ROSE AIR FRESHNER 12/300ML,189387,189387,,COTTAGE ROSE  AIR FRESHNER 12/300ML,EA,CHEMICAL,,3.601208,0.3,l,0,0,0,0,0,0,100,0,1,1,[],TRUE
200361,(TAFGA) DOVE CREAM SOAP PINK 72/135G,200361,200361,,(TAFGA) DOVE CREAM SOAP PINK 72/135G,EA,CHEMICAL,,4.157622,0.135,kg,340,2.1,3,36,38,3,100,0,1,1,"[""milk""]",TRUE
218664,TFGA HAND SOAP LIQ LEMON 4/5LTR,218664,218664,,TFGA HAND SOAP LIQ LEMON 4/5LTR,EA,CHEMICAL,,18.746022,5,l,29,1.1,9.3,0.3,2,2.5,60,40,1,0.6,[],TRUE
254320,TAFGA ARIEL DETERGENTS HS MB 4/3KG,254320,254320,,TAFGA ARIEL DETERGENTS HS MB 4/3KG,EA,CHEMICAL,,24.952102,3,kg,0,0,0,0,0,0,100,0,1,1,[],TRUE
267425,TAFGA PIF PAF INSECT KILLER 12/300ML,267425,267425,,TAFGA PIF PAF INSECT KILLER 12/300ML,EA,CHEMICAL,,5.675633,0.3,l,0,0,0,0,0,0,100,0,1,1,[],TRUE
270297,TAFGA FLASH PLUS BOWL CLEANER 12/1000ML,270297,270297,,TAFGA FLASH PLUS BOWL CLEANER 12/1000ML,EA,CHEMICAL,,3.166662,1,l,0,0,0,0,0,0,100,0,1,1,[],TRUE
279994,TFGA WHITE DETERGENT POWDER 1/25KG,279994,279994,,TFGA WHITE DETERGENT POWDER 1/25KG,EA,CHEMICAL,,72.010973,25,kg,0,0,0,0,0,0,100,0,1,1,[],TRUE
330261,GENTO DISINFECTANT FLOWER 6/3LTR,330261,330261,,GENTO DISINFECTANT FLOWER 6/3LTR,EA,CHEMICAL,,12.166662,3,l,0,0,0,0,0,0,100,0,1,1,[],TRUE
332791,TAFGA CHLORINE TABLETS 6/200CT,332791,332791,,TAFGA CHLORINE TABLETS 6/200CT,PAK,CHEMICAL,,120,200,pieces,0,0,0,0,0,0,100,0,1,1,[],TRUE
343925,TAFGA DOVE SOAP 72/75G,343925,343925,,TAFGA DOVE SOAP 72/75G,EA,CHEMICAL,,2.975459,0.075,kg,0,0,0,0,0,0,100,0,1,1,[],TRUE
387037,FAIRY LEMON 12/900ML,387037,387037,,FAIRY LEMON 12/900ML,EA,CHEMICAL,,11.416669,0.9,l,29,1.1,9.3,0.3,2,2.5,60,40,1,0.6,[],TRUE
CH000436,CHROLINE STRIPS 1/2CT,CH000436,CH000436,,CHROLINE STRIPS 1/2CT,EA,CHEMICAL,,50,2,pieces,0,0,0,0,0,0,100,0,1,1,[],TRUE
118807,NADA UHT MILK FF 18/200ML,118807,118807,,NADA UHT MILK FF 18/200ML,EA,DAIRY,,1.25,0.2,l,61,3.2,4.8,3.3,43,5.1,100,0,1,1,"[""milk""]",TRUE
153758,A-TAFGA BONNY MILK EVAP 96/170G,153758,153758,,A-TAFGA BONNY MILK EVAP 96/170G,EA,DAIRY,,2.186782,0.17,kg,61,3.2,4.8,3.3,43,5.1,100,0,1,1,"[""milk""]",TRUE
164604,TAFGA MARGARINE 1/5/2KG,164604,164604,,TAFGA MARGARINE 1/5/2KG,PAK,DAIRY,,23.75001,10,kg,717,0.9,0.1,81,11,0.1,100,0,1,1,"[""milk""]",TRUE
171301,TAFGA SLICED CHEESE 9/800G,171301,171301,,TAFGA SLICED CHEESE 9/800G,EA,DAIRY,,17.648206,0.8,kg,350,25,2.2,27,650,1,100,0,1,1,"[""milk""]",TRUE
342384,TAFGA MARAI COOKING CREAM 12/1LTR,342384,342384,,TAFGA MARAI COOKING CREAM 12/1LTR,EA,DAIRY,,19.7,1,l,340,2.1,3,36,38,3,100,0,1,1,"[""milk""]",TRUE
DR000003,AL MARAI YOGURT/ZABADI FF 1/170G,DR000003,DR000003,,AL MARAI YOGURT/ZABADI FF 1/170G,EA,DAIRY,,1.25,0.17,kg,61,3.5,4.7,3.3,46,4.7,100,0,1,1,"[""milk""]",TRUE
DR000005,AL MARAI UHT MILF FF 12/1LTR,DR000005,DR000005,,AL MARAI UHT MILF FF 12/1LTR,EA,DAIRY,,3.410001,1,l,61,3.2,4.8,3.3,43,5.1,100,0,1,1,"[""milk""]",TRUE
DR000017,AL MARAI LABAN LF VIT 1/180ML,DR000017,DR000017,,AL MARAI LABAN LF VIT 1/180ML,EA,DAIRY,,0,0.18,l,61,3.2,4.8,3.3,43,5.1,100,0,1,1,"[""milk""]",TRUE
DR000034,NADA MILK FF UHT 12/1 LTR,DR000034,DR000034,,NADA MILK FF UHT 12/1 LTR,EA,DAIRY,,0,1,l,61,3.2,4.8,3.3,43,5.1,100,0,1,1,"[""milk""]",TRUE
DR000039,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,DR000039,,AL MARAI BUTTER UNSALT 4/100/10G,PAK,DAIRY,,36.153056,1,kg,0,0,0,0,38758,0,100,0,1,1,[],TRUE
DR000284,ALMARAI LABNEH FF 1/2.75KG,DR000284,DR000284,,ALMARAI LABNEH FF 1/2.75KG,EA,DAIRY,,66,2.75,kg,61,3.5,4.7,3.3,46,4.7,100,0,1,1,"[""milk""]",TRUE
DR000390,AL MARAI MOZZARELLA CHEESE 6/900GM,DR000390,DR000390,,AL MARAI MOZZARELLA CHEESE 6/900GM,EA,DAIRY,,35.57,0.9,kg,350,25,2.2,27,650,1,100,0,1,1,"[""milk""]",TRUE
100782,TAFGA MAKATI SOY SAUCE 12/750ML,100782,100782,,TAFGA MAKATI SOY SAUCE 12/750ML,EA,GROCERY,,8.225,0.75,l,53,8,4.9,0.6,5493,0.4,100,0,1,1,"[""soy"", ""wheat"", ""gluten""]",TRUE
102426,TAFGA MAGGI CUBES CHICKEN 24/24/20G,102426,102426,,TAFGA MAGGI CUBES CHICKEN 24/24/20G,EA,GROCERY,,0.814965,0.02,kg,120,21.5,0,3.1,70,0,75,25,1,0.75,[],TRUE
103023,TAFGA LUNA TOMATO PASTE 24/400G,103023,103023,,TAFGA LUNA TOMATO PASTE 24/400G,EA,GROCERY,,3.791673,0.4,kg,82,4.3,19,0.5,59,12,100,0,1,1,[],TRUE
110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,110196,110196,,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,EA,GROCERY,,10.916665,0.6,l,51,1.4,11,0.3,2733,7,100,0,1,1,"[""mollusc"", ""soy"", ""wheat"", ""gluten""]",TRUE
111278,TFG RIYADH/HAIEL WHITE OATS 24/400G,111278,111278,,TFG RIYADH/HAIEL WHITE OATS 24/400G,EA,GROCERY,,3.480606,0.4,kg,389,16.9,66.3,6.9,2,1,100,0,1,1,"[""gluten""]",TRUE
132822,A-TAFGA SHIFA HONEY 12/500G,132822,132822,,A-TAFGA SHIFA HONEY 12/500G,EA,GROCERY,,19.494518,0.5,kg,304,0.3,82.4,0,4,82.1,100,0,1,1,[],TRUE
132827,CAFE EXTRA MILD 12/200G,132827,132827,,CAFE EXTRA MILD 12/200G,EA,GROCERY,,14.574515,0.2,kg,2,0.1,0,0,2,0,100,0,1,1,[],TRUE
132875,TFGA CUSTARD POWDER 24/450G,132875,132875,,TFGA CUSTARD POWDER 24/450G,EA,GROCERY,,7.27551,0.45,kg,350,0.5,88,0.5,250,0,100,0,1,1,"[""milk""]",TRUE
132925,GARLIC CUPS DISP WATNIA 20/100CT,132925,132925,,GARLIC CUPS DISP WATNIA 20/100CT,PAK,GROCERY,,3.383235,100,pieces,149,6.4,33.1,0.5,17,1,87,13,1,0.87,[],TRUE
133054,ELKEIF THAI CHILLI WHOLE 1/5KG,133054,133054,,ELKEIF THAI CHILLI WHOLE 1/5KG,KG,GROCERY,,25,5,kg,282,12,50,14,20,2,100,0,1,1,[],TRUE
133106,BASHAYER PAK VERMICELLI 48/150G,133106,133106,,BASHAYER PAK VERMICELLI 48/150G,EA,GROCERY,,0.880132,0.15,kg,371,13,75,1.5,6,2.7,100,0,1,1,"[""wheat"", ""gluten""]",TRUE
133501,A-GLORIA SAN HOT SAUCE 36/3Z,133501,133501,,A-GLORIA SAN HOT SAUCE 36/3Z,EA,GROCERY,,0.919458,0.08504857,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
138855,A-FOOM WHEAT FLOUR 1/45KG,138855,138855,,A-FOOM WHEAT FLOUR 1/45KG,KG,GROCERY,,0.788889,45,kg,364,10.3,76,1,2,0.3,100,0,1,1,"[""wheat"", ""gluten""]",TRUE
139287,MELLOW PULSE LENTIL BROWN WHOLE 1/15KG,139287,139287,,MELLOW PULSE LENTIL BROWN WHOLE 1/15KG,KG,GROCERY,,0,15,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
139364,A-TAFGA MELLOW URID DAL 1/15KG,139364,139364,,A-TAFGA MELLOW URID DAL 1/15KG,KG,GROCERY,,6.798457,15,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
139374,TAFGA PARMEL RICE 1/40KG,139374,139374,,TAFGA PARMEL RICE 1/40KG,KG,GROCERY,,0,40,kg,365,7.1,80,0.7,5,0.1,100,0,1,1,[],TRUE
139554,A-AL AMC CORN STARCH 1/25KG,139554,139554,,A-AL AMC CORN STARCH 1/25KG,KG,GROCERY,,2.5996,25,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
139779,A-TFG TOMEX BELGIUM VEG BROCOLLI 4/2.5KG,139779,139779,,A-TFG TOMEX BELGIUM VEG BROCOLLI 4/2.5KG,EA,GROCERY,,23.090125,2.5,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
139791,A-GEKO FRENCH FRIES SIZE 9X9 4/2.5KG,139791,139791,,A-GEKO FRENCH FRIES SIZE 9X9 4/2.5KG,EA,GROCERY,,11.859375,2.5,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
139799,VEG FROGEL CAULIFLOWER 1/10KG,139799,139799,,VEG FROGEL CAULIFLOWER 1/10KG,CS,GROCERY,,0,10,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
139837,TFG BOREAL/TOMEX BELGIUM SPINACH 4/2.5KG,139837,139837,,TFG BOREAL/TOMEX BELGIUM SPINACH 4/2.5KG,PAK,GROCERY,,13.500014,2.5,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
139845,A-TFG FRESHLY FRUIT C/TAIL 6/2.5KG,139845,139845,,A-TFG FRESHLY FRUIT C/TAIL 6/2.5KG,EA,GROCERY,,28.20265,2.5,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
139860,A-ADELCO BURGHUL (FINE)1/15KG,139860,139860,,A-ADELCO BURGHUL (FINE)1/15KG,KG,GROCERY,,3.6,15,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
139862,OBA SEMOLINA 1/15KG,139862,139862,,OBA SEMOLINA 1/15KG,KG,GROCERY,,4,15,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
139868,AAA WHITE THAI RICE 1/40KG,139868,139868,,AAA WHITE THAI RICE  1/40KG,KG,GROCERY,,2.999164,40,kg,365,7.1,80,0.7,5,0.1,100,0,1,1,[],TRUE
140068,A-88 RED KIDNEY BEANS 1/15KG,140068,140068,,A-88 RED KIDNEY BEANS 1/15KG,KG,GROCERY,,8.633822,15,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
142007,A-MELLOW PULSE RED LENTIL 1/15KG,142007,142007,,A-MELLOW PULSE RED LENTIL 1/15KG,KG,GROCERY,,4.399431,15,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
145008,A-TAFGA REHAN JELLY S/BERRY 4/3KG,145008,145008,,A-TAFGA REHAN JELLY S/BERRY 4/3KG,EA,GROCERY,,25,3,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
147040,TFG NIAZ BAY LEAVES 1/1KG,147040,147040,,TFG NIAZ BAY LEAVES 1/1KG,CS,GROCERY,,15.260333,1,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
147042,AL NASEEL TAFGA P/P WALNUT 1/1KG,147042,147042,,AL NASEEL TAFGA P/P WALNUT 1/1KG,CS,GROCERY,,40.5726,1,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
147047,TFG NIAZ LEMON DRY 1/1KG,147047,147047,,TFG NIAZ LEMON DRY 1/1KG,CS,GROCERY,,14.7425,1,kg,29,1.1,9.3,0.3,2,2.5,60,40,1,0.6,[],TRUE
153319,MAWASIM SARDINES TOM/SCE 100/155G,153319,153319,,MAWASIM SARDINES TOM/SCE 100/155G,EA,GROCERY,,2.280014,0.155,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
154783,TAFGA SB FRENCH FRIES 4/2.5KG,154783,154783,,TAFGA SB FRENCH FRIES 4/2.5KG,EA,GROCERY,,13.56375,2.5,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
155583,A-TAFGA ADELCO HAREES TURKEY 1/10KG,155583,155583,,A-TAFGA ADELCO HAREES TURKEY 1/10KG,KG,GROCERY,,4.310557,10,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
161290,A-TFGA AFFCO TOMATO KETCHUP 4/5KG,161290,161290,,A-TFGA AFFCO TOMATO KETCHUP 4/5KG,EA,GROCERY,,23.91885,5,kg,18,0.9,3.9,0.2,5,2.6,95,5,1,0.95,[],TRUE
166780,TAFGA REHAN SALT IODIZED 24/700G,166780,166780,,TAFGA REHAN SALT IODIZED 24/700G,EA,GROCERY,,0.79,0.7,kg,0,0,0,0,38758,0,100,0,1,1,[],TRUE
174476,AFCO COCONUT MILK POWDER 12/300G,174476,174476,,AFCO COCONUT MILK POWDER 12/300G,EA,GROCERY,,9.580833,0.3,kg,61,3.2,4.8,3.3,43,5.1,100,0,1,1,"[""milk""]",TRUE
176065,AL OSRA SUGAR FINE 10/2KG,176065,176065,,AL OSRA SUGAR FINE 10/2KG,EA,GROCERY,,7.235844,2,kg,387,0,100,0,1,100,100,0,1,1,[],TRUE
179312,(TAFGA) MAWASIM KETCHUP 24/340G,179312,179312,,(TAFGA) MAWASIM KETCHUP 24/340G,EA,GROCERY,,2.275539,0.34,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
179550,A-AFFCO RICE STK (P/BIHON) 30/227G-212012,179550,179550,,A-AFFCO RICE STK (P/BIHON) 30/227G-212012,EA,GROCERY,,4.100905,0.227,kg,365,7.1,80,0.7,5,0.1,100,0,1,1,[],TRUE
180576,TAFGA CAMEL PICKLE MIXED 12/400G,180576,180576,,TAFGA CAMEL PICKLE MIXED 12/400G,EA,GROCERY,,5.333775,0.4,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
180808,A-TAFGA MELLOW DAL MOONG WHL 1/15KG,180808,180808,,A-TAFGA MELLOW DAL MOONG WHL 1/15KG,KG,GROCERY,,5.866667,15,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
185208,TAFGA OLIVE OIL 12/500ML,185208,185208,,TAFGA OLIVE OIL 12/500ML,EA,GROCERY,,11.67905,0.5,l,884,0,0,100,0,0,100,0,1,1,[],TRUE
185539,COCONUT MILK POWDER 12/300G,185539,185539,,COCONUT MILK POWDER  12/300G,EA,GROCERY,,13.877866,0.3,kg,61,3.2,4.8,3.3,43,5.1,100,0,1,1,"[""milk""]",TRUE
185818,A-TFG FRESHLY BASIL LEAVES U.S 6/5Z,185818,185818,,A-TFG FRESHLY BASIL LEAVES U.S  6/5Z,EA,GROCERY,,22.438929,0.14174762,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,185836,185836,,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,EA,GROCERY,,53.26765,0.45359237,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
185837,A-TAFGA FRESHLY WHT PEPPER PDWR 6/16Z,185837,185837,,A-TAFGA FRESHLY WHT PEPPER PDWR 6/16Z,EA,GROCERY,,70.552273,0.45359237,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
187167,TAFGA HOMMOS TAHINA 24/380G,187167,187167,,TAFGA HOMMOS TAHINA 24/380G,EA,GROCERY,,2.20833,0.38,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
188559,A-FOOM WHITE FLOUR 1/45KG,188559,188559,,A-FOOM WHITE FLOUR 1/45KG,KG,GROCERY,,0.611111,45,kg,364,10.3,76,1,2,0.3,100,0,1,1,"[""wheat"", ""gluten""]",TRUE
190082,A-ALMANAKIL SUMAC NO.1 1/KG,190082,190082,,A-ALMANAKIL SUMAC NO.1 1/KG,KG,GROCERY,,9.2,,,250,5,45,5,100,5,100,0,1,1,[],TRUE
191262,A-TFGA LUNA FOUL MEDAMAS 24/400G,191262,191262,,A-TFGA LUNA FOUL MEDAMAS 24/400G,EA,GROCERY,,1.960765,0.4,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
191743,WADI HONEY 12/375-385G,191743,191743,,WADI HONEY 12/375-385G,EA,GROCERY,,6.997343,0.375,kg,304,0.3,82.4,0,4,82.1,100,0,1,1,[],TRUE
191744,TAFGA SPANISH BLACK OLIVES WHOLE 12/370G,191744,191744,,TAFGA SPANISH BLACK OLIVES WHOLE 12/370G,EA,GROCERY,,5.666736,0.37,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
191892,TAFGA LUNA RED KIDNEY BEANS 24/400G,191892,191892,,TAFGA LUNA RED KIDNEY BEANS 24/400G,EA,GROCERY,,3.5,0.4,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
198273,TAFGA M.S.G. 20/400G,198273,198273,,TAFGA M.S.G. 20/400G,EA,GROCERY,,1.30005,0.4,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
199838,A-(TAFGA) AFFCO SWEET CORN 6/3KG,199838,199838,,A-(TAFGA) AFFCO SWEET CORN 6/3KG,PAK,GROCERY,,15.52675,3,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
199922,A-TAFGA AFFCO SWEET CHILLI SAUCE 12/700ML,199922,199922,,A-TAFGA AFFCO SWEET CHILLI SAUCE 12/700ML,EA,GROCERY,,7.66664,0.7,l,282,12,50,14,20,2,100,0,1,1,[],TRUE
201773,TAFGA CREAM CARAMEL 4/3KG,201773,201773,,TAFGA CREAM CARAMEL 4/3KG,PAK,GROCERY,,25.5,3,kg,340,2.1,3,36,38,3,100,0,1,1,"[""milk""]",TRUE
204980,TAFGA LIQ TAHINA 12/1KG,204980,204980,,TAFGA LIQ TAHINA 12/1KG,EA,GROCERY,,36.083344,1,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
213346,BAIDAR POMEGRANATE MOLASSES 12/700G,213346,213346,,BAIDAR POMEGRANATE MOLASSES 12/700G,EA,GROCERY,,14.583333,0.7,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
218618,TAFGA GOODY WHOLE MUSHROOM 24/400G,218618,218618,,TAFGA GOODY WHOLE MUSHROOM 24/400G,EA,GROCERY,,7.449229,0.4,kg,250,5,45,5,100,5,100,0,1,1,[],TRUE
221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,221871,221871,,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,EA,GROCERY,,104.273975,18,l,884,0,0,100,0,0,100,0,1,1,[],TRUE
242795,ALMARAI BUTTER GHEE 6/1600G,242795,242795,,ALMARAI BUTTER GHEE 6/1600G,EA,GROCERY,,35.905962,1.6,kg,717,0.9,0.1,81,11,0.1,100,0,1,1,"[""milk""]",TRUE
255114,A-UJAJ ROCK COOKING SALT 1/50KG,255114,255114,,A-UJAJ ROCK COOKING SALT 1/50KG,KG,GROCERY,,0.46,50,kg,0,0,0,0,38758,0,100,0,1,1,[],TRUE
