recipe_name,source_file,source_ingredient,quantity,unit,match_status,matched_ingredient,action_required
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Yogurt,4.0,kg,item_code,ALMARAI LABNEH FF 1/2.75KG,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Fresh cream,2.0,l,item_code,AL MARAI UHT MILF FF 12/1LTR,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Ginger paste,600.0,g,item_code,GINGER (CHINA),Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Garlic paste,600.0,g,item_code,GARLIC  (CHINA),Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Salt,350.0,g,item_code,AL MARAI BUTTER UNSALT 4/100/10G,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Red chili powder,300.0,g,item_code,SHAN RED CHILLI POWDER 10/1KG,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Turmeric powder,120.0,g,item_code,SHAN TURMERIC POWDER  10/1KG,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Coriander powder,400.0,g,item_code,SHAN CORIANDER POWDER  10/1KG,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Cumin powder,200.0,g,item_code,SHAN CUMIN POWDER 10/1KG,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Garam masala,150.0,g,item_code,SHAN KORMA MASALA 10/1KG,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Black pepper powder,80.0,g,item_code,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Cinnamon sticks,50.0,g,item_code,NIAZ CINNAMON STICK 1/1KG,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Green cardamom,40.0,g,item_code,NIAZ CARDAMON 1/1KG,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Cloves,30.0,g,item_code,NIAZ CLOVE WHOLE 1/1KG,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Bay leaves,20.0,g,item_code,TFG NIAZ BAY LEAVES 1/1KG,Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Green chilies,500.0,g,item_code,GREEN CHILLI (INDIAN),Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Fresh coriander leaves,1.5,kg,item_code,CORIANDER LEAVES (BDL),Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Fresh ginger,500.0,g,item_code,GINGER (CHINA),Review fuzzy name match
Chicken Handi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,Kasuri methi,100.0,g,item_code,A-MEHRAN KAUSRI METHILEAVES 12/50G,Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,"Chicken, boneless, cubed",15.0,kg,item_code,TANMIAH FRESH CHICKEN 1/900G,Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,Yogurt,1.5,kg,item_code,ALMARAI LABNEH FF 1/2.75KG,Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,Ginger-garlic paste,300.0,g,item_code,GARLIC  (CHINA),Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,Turmeric powder,50.0,g,item_code,SHAN TURMERIC POWDER  10/1KG,Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,Red chili powder,75.0,g,item_code,SHAN RED CHILLI POWDER 10/1KG,Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,Salt,200.0,g,item_code,AL MARAI BUTTER UNSALT 4/100/10G,Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,"Bell peppers , chopped",5.0,kg,item_code,GREEN PEPPER (LBN),Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,"Onions, sliced",4.0,kg,item_code,DRY ONION (LOCAL),Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,"Tomatoes, chopped",4.0,kg,item_code,TOMATO (ADY),Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,"Green chilies, slit",250.0,g,item_code,GREEN CHILLI (INDIAN),Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,Cumin seeds,100.0,g,item_code,SHAN CUMIN WHOLE  10/1KG,Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,Coriander powder,200.0,g,item_code,SHAN CORIANDER POWDER  10/1KG,Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,Garam masala,50.0,g,item_code,SHAN KORMA MASALA 10/1KG,Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,Black pepper,25.0,g,item_code,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,Vegetable oil,1.5,l,item_code,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,"Fresh coriander leaves, chopped",500.0,g,item_code,CORIANDER LEAVES (BDL),Review fuzzy name match
Chicken Jalfrezi KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,Lemon juice,250.0,ml,item_code,TFG MOONATY LEMON JUICE 12/1LTR,Review fuzzy name match
Chicken Korma KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Korma.100 PAX.docx,Chicken,12.0,kg,item_code,TAFGA MAGGI CUBES CHICKEN 24/24/20G,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Bone-in chicken,15.0,kg,item_code,TANMIAH FRESH CHICKEN 1/900G,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Onion,3.5,kg,item_code,DRY ONION (LOCAL),Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Tomato puree,3.0,kg,item_code,A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Yogurt,2.0,kg,item_code,ALMARAI LABNEH FF 1/2.75KG,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Oil / Ghee,700.0,ml,item_code,ALMARAI BUTTER GHEE 6/1600G,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Ginger-garlic paste,700.0,g,item_code,GARLIC  (CHINA),Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Turmeric powder,80.0,g,item_code,SHAN TURMERIC POWDER  10/1KG,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Red chili powder,80.0,g,item_code,SHAN RED CHILLI POWDER 10/1KG,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Coriander powder,200.0,g,item_code,SHAN CORIANDER POWDER  10/1KG,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Garam masala,90.0,g,item_code,SHAN KORMA MASALA 10/1KG,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Bay leaves,10.0,pieces,item_code,TFG NIAZ BAY LEAVES 1/1KG,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Cinnamon sticks,20.0,g,item_code,NIAZ CINNAMON STICK 1/1KG,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Green cardamom,20.0,g,item_code,NIAZ CARDAMON 1/1KG,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Salt,200.0,g,item_code,AL MARAI BUTTER UNSALT 4/100/10G,Review fuzzy name match
Chicken Masala. bone in chicken KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,Fresh coriander leaves,300.0,g,item_code,CORIANDER LEAVES (BDL),Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Chicken,12.0,kg,item_code,TAFGA MAGGI CUBES CHICKEN 24/24/20G,Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Fresh spinach,8.0,kg,item_code,TFG BOREAL/TOMEX BELGIUM SPINACH 4/2.5KG,Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Onion,2.5,kg,item_code,DRY ONION (LOCAL),Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Tomato,2.0,kg,item_code,TAFGA LUNA TOMATO PASTE 24/400G,Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Green chili,200.0,g,item_code,GREEN CHILLI (INDIAN),Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Ginger-garlic paste,500.0,g,item_code,GARLIC  (CHINA),Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Turmeric powder,80.0,g,item_code,SHAN TURMERIC POWDER  10/1KG,Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Red chili powder,120.0,g,item_code,SHAN RED CHILLI POWDER 10/1KG,Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Coriander powder,200.0,g,item_code,SHAN CORIANDER POWDER  10/1KG,Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Cumin powder,120.0,g,item_code,SHAN CUMIN POWDER 10/1KG,Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Garam masala,100.0,g,item_code,SHAN KORMA MASALA 10/1KG,Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Salt,300.0,g,item_code,AL MARAI BUTTER UNSALT 4/100/10G,Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Bay leaves,20.0,g,item_code,TFG NIAZ BAY LEAVES 1/1KG,Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Cinnamon sticks,30.0,g,item_code,NIAZ CINNAMON STICK 1/1KG,Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Cardamom,20.0,g,item_code,BLACK CARDAMON INDIA  1/1KG,Review fuzzy name match
Chicken Palak KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,Cloves,15.0,g,item_code,NIAZ CLOVE WHOLE 1/1KG,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Boneless chicken,18.0,kg,item_code,TFG AMERICANA LOCAL CHICKEN BREAST1/10KG,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Lemon juice,500.0,ml,item_code,TFG MOONATY LEMON JUICE 12/1LTR,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Kashmiri chili powder,100.0,g,item_code,SHAN RED CHILLI POWDER 10/1KG,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Salt,150.0,g,item_code,AL MARAI BUTTER UNSALT 4/100/10G,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Hung curd / Thick Greek yogurt,4.0,kg,item_code,ALMARAI LABNEH FF 1/2.75KG,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Ginger-garlic paste,600.0,g,item_code,GARLIC  (CHINA),Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Mustard oil,400.0,ml,item_code,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Kashmiri chili powder,300.0,g,item_code,SHAN RED CHILLI POWDER 10/1KG,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Garam masala,150.0,g,item_code,SHAN KORMA MASALA 10/1KG,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Cumin powder,100.0,g,item_code,SHAN CUMIN POWDER 10/1KG,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Coriander powder,100.0,g,item_code,SHAN CORIANDER POWDER  10/1KG,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Turmeric powder,50.0,g,item_code,SHAN TURMERIC POWDER  10/1KG,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Chaat masala,100.0,g,item_code,MAA CHAAT MASALA TUB 6/750G,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Kasuri methi,50.0,g,item_code,A-MEHRAN KAUSRI METHILEAVES 12/50G,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Salt,100.0,g,item_code,AL MARAI BUTTER UNSALT 4/100/10G,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Melted butter,1.0,kg,item_code,AL MARAI BUTTER UNSALT 4/100/10G,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Chaat masala,50.0,g,item_code,MAA CHAAT MASALA TUB 6/750G,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Fresh coriander,300.0,g,item_code,SHAN CORIANDER POWDER  10/1KG,Review fuzzy name match
Chicken Tandori KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,Lemon wedges,50.0,pieces,item_code,LEMON (AFRICAN/TURKEY),Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Whole chicken,25.0,pieces,item_code,ADDOHA FRESH CHICKEN WHOLE IN BAG 1/900G,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Lemon juice,600.0,ml,item_code,TFG MOONATY LEMON JUICE 12/1LTR,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Salt,250.0,g,item_code,AL MARAI BUTTER UNSALT 4/100/10G,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Red chili powder,200.0,g,item_code,SHAN RED CHILLI POWDER 10/1KG,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Yogurt,8.0,kg,item_code,ALMARAI LABNEH FF 1/2.75KG,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Ginger-garlic paste,1.5,kg,item_code,GARLIC  (CHINA),Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Red chili powder,300.0,g,item_code,SHAN RED CHILLI POWDER 10/1KG,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Turmeric powder,100.0,g,item_code,SHAN TURMERIC POWDER  10/1KG,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Coriander powder,250.0,g,item_code,SHAN CORIANDER POWDER  10/1KG,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Garam masala,200.0,g,item_code,SHAN KORMA MASALA 10/1KG,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Cumin powder,150.0,g,item_code,SHAN CUMIN POWDER 10/1KG,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Kashmiri chili powder,200.0,g,item_code,SHAN RED CHILLI POWDER 10/1KG,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Mustard oil or vegetable oil,2.0,l,item_code,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Lemon juice,1.0,l,item_code,TFG MOONATY LEMON JUICE 12/1LTR,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Salt,300.0,g,item_code,AL MARAI BUTTER UNSALT 4/100/10G,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Fresh coriander,1.0,kg,item_code,SHAN CORIANDER POWDER  10/1KG,Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Lemon wedges,100.0,pieces,item_code,LEMON (AFRICAN/TURKEY),Review fuzzy name match
Chicken Tikka KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,Onion rings,5.0,kg,item_code,DRY ONION (LOCAL),Review fuzzy name match
Crispy Chicken Strips KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Crispy_Chicken_Strips_100_Pax.docx,"Boneless, skinless chicken breasts",15.0,kg,item_code,TFG AMERICANA LOCAL CHICKEN BREAST1/10KG,Review fuzzy name match
Crispy Chicken Strips KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Crispy_Chicken_Strips_100_Pax.docx,Fine sea salt,60.0,g,item_code,TAFGA REHAN SALT IODIZED 24/700G,Review fuzzy name match
Crispy Chicken Strips KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Crispy_Chicken_Strips_100_Pax.docx,Garlic paste,200.0,g,item_code,GARLIC  (CHINA),Review fuzzy name match
Crispy Chicken Strips KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Crispy_Chicken_Strips_100_Pax.docx,Black pepper,20.0,g,item_code,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,Review fuzzy name match
Crispy Chicken Strips KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Crispy_Chicken_Strips_100_Pax.docx,Buttermilk,2.0,l,item_code,AL MARAI UHT MILF FF 12/1LTR,Review fuzzy name match
Crispy Chicken Strips KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Crispy_Chicken_Strips_100_Pax.docx,All-purpose flour,1.4,kg,item_code,A-FOOM WHITE FLOUR 1/45KG,Review fuzzy name match
Crispy Chicken Strips KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Crispy_Chicken_Strips_100_Pax.docx,Cornstarch,400.0,g,contains,A-AL AMC CORN STARCH 1/25KG,Review fuzzy name match
Crispy Chicken Strips KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Crispy_Chicken_Strips_100_Pax.docx,Eggs,30.0,pieces,item_code,SAEDCO FRESH EGGS MEDIUM 12/30 CT,Review fuzzy name match
Crispy Chicken Strips KBR-384 ONEGO V3,artifacts\recipe-upload-source\MENU\MENU\Chicken\Crispy_Chicken_Strips_100_Pax.docx,Milk,1.0,l,item_code,NZMP WHOLE MILK POWDER 1/25KG,Review fuzzy name match
