site,warehouse,item_code,ingredient_name,quantity,unit,unit_cost,reorder_level,status,item_group,amount
KBR,KBR-384,BR000109,SPRITE CAN 30/250ML,597,EA,1.446333,0,in_stock,BEVERAGES,863.461
KBR,KBR-384,BR000280,NESTLE WATER 42/330ML,0,EA,0,0,out_of_stock,BEVERAGES,-2.1428
KBR,KBR-384,BR000346,KINZA CITRUS 30/250ML,300,EA,1.043333,0,in_stock,BEVERAGES,313
KBR,KBR-384,BR000347,KINZA ORANGE 30/250ML,120,EA,1.043333,0,in_stock,BEVERAGES,125.2
KBR,KBR-384,BR000349,KINZA LEMON 30/250ML,120,EA,1.043333,0,in_stock,BEVERAGES,125.2
KBR,KBR-384,BR000351,KINZA COLA 30/250ML,600,EA,1.043333,0,in_stock,BEVERAGES,626
KBR,KBR-384,132787,(TAFGA) STEEL POLISH 12/400ML,23,EA,6.002509,0,in_stock,CHEMICAL,138.0577
KBR,KBR-384,133443,(TAFGA) LUX SOAP ASST 72/120G,486,EA,2.403944,0,in_stock,CHEMICAL,1168.3169
KBR,KBR-384,140165,ROZZET HAND LIQUID SOAP PINK 4/5LTR,0,EA,0,0,out_of_stock,CHEMICAL,-7.3686
KBR,KBR-384,165437,CLOROX BLEA 6/1GALLON,143,EA,16.357474,0,in_stock,CHEMICAL,2339.1188
KBR,KBR-384,169246,DIXIE GLASS CLEANER 12/600ML,35,EA,2.913946,0,in_stock,CHEMICAL,101.9881
KBR,KBR-384,189387,COTTAGE ROSE AIR FRESHNER 12/300ML,24,EA,3.601208,0,in_stock,CHEMICAL,86.429
KBR,KBR-384,200361,(TAFGA) DOVE CREAM SOAP PINK 72/135G,384,EA,4.157622,0,in_stock,CHEMICAL,1596.527
KBR,KBR-384,218664,TFGA HAND SOAP LIQ LEMON 4/5LTR,58,EA,18.746022,0,in_stock,CHEMICAL,1087.2693
KBR,KBR-384,254320,TAFGA ARIEL DETERGENTS HS MB 4/3KG,50,EA,24.952102,0,in_stock,CHEMICAL,1247.6051
KBR,KBR-384,267425,TAFGA PIF PAF INSECT KILLER 12/300ML,12,EA,5.675633,0,in_stock,CHEMICAL,68.1076
KBR,KBR-384,270297,TAFGA FLASH PLUS BOWL CLEANER 12/1000ML,133,EA,3.166662,0,in_stock,CHEMICAL,421.1661
KBR,KBR-384,279994,TFGA WHITE DETERGENT POWDER 1/25KG,22,EA,72.010973,0,in_stock,CHEMICAL,1584.2414
KBR,KBR-384,330261,GENTO DISINFECTANT FLOWER 6/3LTR,53,EA,12.166662,0,in_stock,CHEMICAL,644.8331
KBR,KBR-384,332791,TAFGA CHLORINE TABLETS 6/200CT,1,PAK,120,0,in_stock,CHEMICAL,120
KBR,KBR-384,343925,TAFGA DOVE SOAP 72/75G,120,EA,2.975459,0,in_stock,CHEMICAL,357.0551
KBR,KBR-384,387037,FAIRY LEMON 12/900ML,188,EA,11.416669,0,in_stock,CHEMICAL,2146.3338
KBR,KBR-384,CH000436,CHROLINE STRIPS 1/2CT,2,EA,50,0,in_stock,CHEMICAL,100
KBR,KBR-384,118807,NADA UHT MILK FF 18/200ML,971,EA,1.25,0,in_stock,DAIRY,1213.75
KBR,KBR-384,153758,A-TAFGA BONNY MILK EVAP 96/170G,194,EA,2.186782,0,in_stock,DAIRY,424.2358
KBR,KBR-384,164604,TAFGA MARGARINE 1/5/2KG,49,PAK,23.75001,0,in_stock,DAIRY,1163.7505
KBR,KBR-384,171301,TAFGA SLICED CHEESE 9/800G,18,EA,17.648206,0,in_stock,DAIRY,317.6677
KBR,KBR-384,342384,TAFGA MARAI COOKING CREAM 12/1LTR,14,EA,19.7,0,in_stock,DAIRY,275.8
KBR,KBR-384,DR000003,AL MARAI YOGURT/ZABADI FF 1/170G,0,EA,1.25,0,out_of_stock,DAIRY,0
KBR,KBR-384,DR000005,AL MARAI UHT MILF FF 12/1LTR,193,EA,3.410001,0,in_stock,DAIRY,658.1302
KBR,KBR-384,DR000017,AL MARAI LABAN LF VIT 1/180ML,0,EA,0,0,out_of_stock,DAIRY,0
KBR,KBR-384,DR000034,NADA MILK FF UHT 12/1 LTR,0,EA,0,0,out_of_stock,DAIRY,0
KBR,KBR-384,DR000039,AL MARAI BUTTER UNSALT 4/100/10G,84,PAK,36.153056,0,in_stock,DAIRY,3036.8567
KBR,KBR-384,DR000284,ALMARAI LABNEH FF 1/2.75KG,3,EA,66,0,in_stock,DAIRY,198
KBR,KBR-384,DR000390,AL MARAI MOZZARELLA CHEESE 6/900GM,7,EA,35.57,0,in_stock,DAIRY,248.99
KBR,KBR-384,100782,TAFGA MAKATI SOY SAUCE 12/750ML,117,EA,8.225,0,in_stock,GROCERY,962.325
KBR,KBR-384,102426,TAFGA MAGGI CUBES CHICKEN 24/24/20G,48,EA,0.814965,0,in_stock,GROCERY,39.1183
KBR,KBR-384,103023,TAFGA LUNA TOMATO PASTE 24/400G,105,EA,3.791673,0,in_stock,GROCERY,398.1257
KBR,KBR-384,110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,150,EA,10.916665,0,in_stock,GROCERY,1637.4998
KBR,KBR-384,111278,TFG RIYADH/HAIEL WHITE OATS 24/400G,298,EA,3.480606,0,in_stock,GROCERY,1037.2205
KBR,KBR-384,132822,A-TAFGA SHIFA HONEY 12/500G,11,EA,19.494518,0,in_stock,GROCERY,214.4397
KBR,KBR-384,132827,CAFE EXTRA MILD 12/200G,140,EA,14.574515,0,in_stock,GROCERY,2040.4321
KBR,KBR-384,132875,TFGA CUSTARD POWDER 24/450G,40,EA,7.27551,0,in_stock,GROCERY,291.0204
KBR,KBR-384,132925,GARLIC CUPS DISP WATNIA 20/100CT,68,PAK,3.383235,0,in_stock,GROCERY,230.06
KBR,KBR-384,133054,ELKEIF THAI CHILLI WHOLE 1/5KG,0,KG,25,0,out_of_stock,GROCERY,0
KBR,KBR-384,133106,BASHAYER PAK VERMICELLI 48/150G,497,EA,0.880132,0,in_stock,GROCERY,437.4254
KBR,KBR-384,133501,A-GLORIA SAN HOT SAUCE 36/3Z,227,EA,0.919458,0,in_stock,GROCERY,208.717
KBR,KBR-384,138855,A-FOOM WHEAT FLOUR 1/45KG,405,KG,0.788889,0,in_stock,GROCERY,319.5
KBR,KBR-384,139287,MELLOW PULSE LENTIL BROWN WHOLE 1/15KG,0,KG,0,0,out_of_stock,GROCERY,-40.4762
KBR,KBR-384,139364,A-TAFGA MELLOW URID DAL 1/15KG,435,KG,6.798457,0,in_stock,GROCERY,2957.329
KBR,KBR-384,139374,TAFGA PARMEL RICE 1/40KG,0,KG,0,0,out_of_stock,GROCERY,22.82
KBR,KBR-384,139554,A-AL AMC CORN STARCH 1/25KG,75,KG,2.5996,0,in_stock,GROCERY,194.97
KBR,KBR-384,139779,A-TFG TOMEX BELGIUM VEG BROCOLLI 4/2.5KG,12,EA,23.090125,0,in_stock,GROCERY,277.0815
KBR,KBR-384,139791,A-GEKO FRENCH FRIES SIZE 9X9 4/2.5KG,40,EA,11.859375,0,in_stock,GROCERY,474.375
KBR,KBR-384,139799,VEG FROGEL CAULIFLOWER 1/10KG,0,CS,0,0,out_of_stock,GROCERY,-0.0176
KBR,KBR-384,139837,TFG BOREAL/TOMEX BELGIUM SPINACH 4/2.5KG,7,PAK,13.500014,0,in_stock,GROCERY,94.5001
KBR,KBR-384,139845,A-TFG FRESHLY FRUIT C/TAIL 6/2.5KG,6,EA,28.20265,0,in_stock,GROCERY,169.2159
KBR,KBR-384,139860,A-ADELCO BURGHUL (FINE)1/15KG,10,KG,3.6,0,in_stock,GROCERY,36
KBR,KBR-384,139862,OBA SEMOLINA 1/15KG,75,KG,4,0,in_stock,GROCERY,300
KBR,KBR-384,139868,AAA WHITE THAI RICE 1/40KG,1800,KG,2.999164,0,in_stock,GROCERY,5398.4947
KBR,KBR-384,140068,A-88 RED KIDNEY BEANS 1/15KG,270,KG,8.633822,0,in_stock,GROCERY,2331.1319
KBR,KBR-384,142007,A-MELLOW PULSE RED LENTIL 1/15KG,270,KG,4.399431,0,in_stock,GROCERY,1187.8465
KBR,KBR-384,145008,A-TAFGA REHAN JELLY S/BERRY 4/3KG,2,EA,25,0,in_stock,GROCERY,50
KBR,KBR-384,147040,TFG NIAZ BAY LEAVES 1/1KG,3,CS,15.260333,0,in_stock,GROCERY,45.781
KBR,KBR-384,147042,AL NASEEL TAFGA P/P WALNUT 1/1KG,1,CS,40.5726,0,in_stock,GROCERY,40.5726
KBR,KBR-384,147047,TFG NIAZ LEMON DRY 1/1KG,6,CS,14.7425,0,in_stock,GROCERY,88.455
KBR,KBR-384,153319,MAWASIM SARDINES TOM/SCE 100/155G,427,EA,2.280014,0,in_stock,GROCERY,973.5661
KBR,KBR-384,154783,TAFGA SB FRENCH FRIES 4/2.5KG,6,EA,13.56375,0,in_stock,GROCERY,81.3825
KBR,KBR-384,155583,A-TAFGA ADELCO HAREES TURKEY 1/10KG,40,KG,4.310557,0,in_stock,GROCERY,172.4223
KBR,KBR-384,161290,A-TFGA AFFCO TOMATO KETCHUP 4/5KG,18,EA,23.91885,0,in_stock,GROCERY,430.5393
KBR,KBR-384,166780,TAFGA REHAN SALT IODIZED 24/700G,12,EA,0.79,0,in_stock,GROCERY,9.48
KBR,KBR-384,174476,AFCO COCONUT MILK POWDER 12/300G,72,EA,9.580833,0,in_stock,GROCERY,689.82
KBR,KBR-384,176065,AL OSRA SUGAR FINE 10/2KG,18,EA,7.235844,0,in_stock,GROCERY,130.2452
KBR,KBR-384,179312,(TAFGA) MAWASIM KETCHUP 24/340G,250,EA,2.275539,0,in_stock,GROCERY,568.8847
KBR,KBR-384,179550,A-AFFCO RICE STK (P/BIHON) 30/227G-212012,121,EA,4.100905,0,in_stock,GROCERY,496.2095
