item_group,ingredient_code,sku,ingredient_name,unit,unit_price,cooking_yield_percent,calories_per_100g,allergens,package_base_quantity,package_base_unit,package_parse_source
DAIRY,342384,342384,TAFGA MARAI COOKING CREAM 12/1LTR,EA,19.7,100,120,milk,1,l,item_name_package
DAIRY,DR000003,DR000003,AL MARAI YOGURT/ZABADI FF 1/170G,EA,1.25,100,120,milk,0.17,kg,item_name_package
DAIRY,DR000005,DR000005,AL MARAI UHT MILF FF 12/1LTR,EA,3.410001,100,120,none,1,l,item_name_package
DAIRY,DR000017,DR000017,AL MARAI LABAN LF VIT 1/180ML,EA,0,100,120,none,0.18,l,item_name_package
DAIRY,DR000034,DR000034,NADA MILK FF UHT 12/1 LTR,EA,0,100,61,none,1,l,item_name_package
DAIRY,DR000039,DR000039,AL MARAI BUTTER UNSALT 4/100/10G,PAK,36.153056,100,120,milk,1,kg,item_name_package
DAIRY,DR000284,DR000284,ALMARAI LABNEH FF 1/2.75KG,EA,66,100,120,none,2.75,kg,item_name_package
DAIRY,DR000390,DR000390,AL MARAI MOZZARELLA CHEESE 6/900GM,EA,35.57,100,120,milk,0.9,kg,item_name_package
GROCERY,100782,100782,TAFGA MAKATI SOY SAUCE 12/750ML,EA,8.225,100,,none,0.75,l,item_name_package
GROCERY,102426,102426,TAFGA MAGGI CUBES CHICKEN 24/24/20G,EA,0.814965,75,165,none,0.02,kg,item_name_package
GROCERY,103023,103023,TAFGA LUNA TOMATO PASTE 24/400G,EA,3.791673,100,82,none,0.4,kg,item_name_package
GROCERY,110196,110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,EA,10.916665,100,90,shellfish,0.6,l,item_name_package
GROCERY,111278,111278,TFG RIYADH/HAIEL WHITE OATS 24/400G,EA,3.480606,240,389,gluten,0.4,kg,item_name_package
GROCERY,132822,132822,A-TAFGA SHIFA HONEY 12/500G,EA,19.494518,100,387,none,0.5,kg,item_name_package
GROCERY,132827,132827,CAFE EXTRA MILD 12/200G,EA,14.574515,100,120,none,0.2,kg,item_name_package
GROCERY,132875,132875,TFGA CUSTARD POWDER 24/450G,EA,7.27551,100,120,none,0.45,kg,item_name_package
GROCERY,132925,132925,GARLIC CUPS DISP WATNIA 20/100CT,PAK,3.383235,100,0,none,100,pieces,item_name_package
GROCERY,133054,133054,ELKEIF THAI CHILLI WHOLE 1/5KG,KG,25,100,120,none,5,kg,item_name_package
GROCERY,133106,133106,BASHAYER PAK VERMICELLI 48/150G,EA,0.880132,100,120,none,0.15,kg,item_name_package
GROCERY,133501,133501,A-GLORIA SAN HOT SAUCE 36/3Z,EA,0.919458,100,90,none,0.08504857,kg,item_name_package
GROCERY,138855,138855,A-FOOM WHEAT FLOUR 1/45KG,KG,0.788889,100,364,wheat,45,kg,item_name_package
