source_sheet,source_row,item_code,ingredient_name,beginning_qty,received_qty,issued_qty,ending_qty,uploaded_quantity,unit,uploaded_unit_cost,amount,item_group,status
Sheet1,159,386761,GOODY PASTA #11 PENNE LISCE 24/500G,270,0,0,270,270,EA,4.277181,1154.8388,GROCERY,converted
Sheet1,160,386762,GOODY PASTA #20 SPAGHETTI 24/450,240,0,0,240,240,EA,4.313105,1035.1452,GROCERY,converted
Sheet1,161,391367,SHAMS SUNFLOWER OIL 2/9LTR,24,0,0,24,24,EA,65.00125,1560.03,GROCERY,converted
Sheet1,162,392483,NESCAFE CLASSIC COFFEE 12/190G,79,0,0,79,79,EA,25.3725,2004.4275,GROCERY,converted
Sheet1,163,401030,EASTERN GARLIC POWDER 24/200G,4,0,0,4,4,EA,9.96835,39.8734,GROCERY,converted
Sheet1,164,401170,A- TAFGA FRESHLY SMOKED PAPRIKA 6/16Z,4,0,0,4,4,EA,39.166675,156.6667,GROCERY,converted
Sheet1,165,401443,LIPTON GREEN TEA MINT 12/50/1.3G,6,0,0,6,6,PAK,16.91665,101.4999,GROCERY,converted
Sheet1,166,401444,LIPTON GREEN TEA LEMON 12/50/1.3G,24,0,0,24,24,PAK,16.916667,406,GROCERY,converted
Sheet1,167,402514,A- MAKATI CHINESE NOODLES 30/200G,146,0,0,146,146,EA,5.013421,731.9594,GROCERY,converted
Sheet1,168,403715,A-HB ORANGE JAM 12/400G,0,0,0,0,0,EA,0,0,GROCERY,converted
Sheet1,169,404298,A-TAFGA SB OKRA ZERO 20/400G,166,0,-4,162,162,EA,6.4,1036.8,GROCERY,converted
Sheet1,170,404314,A-5 DIAMOND RAISIN 1/10KG,60,0,0,60,60,KG,17.17747,1030.6482,GROCERY,converted
Sheet1,171,404321,A-MELLOW LENTIL BROWN WHOLE 1/15KG,180,0,0,180,180,KG,4.162565,749.2617,GROCERY,converted
Sheet1,172,404322,A-ADELCO COCONUT POWDR 1/7KG,1,0,0,1,1,EA,93.1168,93.1168,GROCERY,converted
Sheet1,173,404324,A- ALBAYAT SAUDI SUGAR 1/50KG,1150,0,0,1150,1150,KG,2.232922,2567.8607,GROCERY,converted
Sheet1,174,404330,A-TOMEX GREEN PEAS 4/2.5KG,108,0,-16,92,92,EA,15.92412,1465.019,GROCERY,converted
Sheet1,175,404331,A-TOMEX CUT GREEN BEAN 4/2.5KG,60,0,0,60,60,EA,15.157793,909.4676,GROCERY,converted
Sheet1,176,404332,A-TOMEX VEG MIXED VEG 4/2.5KG,37,0,0,37,37,EA,14.383149,532.1765,GROCERY,converted
Sheet1,177,404344,A-NASEEL MUSTARD WHOLE 1/1KG,1,0,0,1,1,KG,8,8,GROCERY,converted
Sheet1,178,404349,A- SPIXA CASHEW NUTS 1/1KG,18,0,0,18,18,KG,41.154906,740.7883,GROCERY,converted
Sheet1,179,404350,A- SPIXA ALMONDS 1/1KG,12,0,0,12,12,KG,36.064,432.768,GROCERY,converted
Sheet1,180,404352,A- SPIXA WALNUT 1/1KG,12,0,0,12,12,KG,39,468,GROCERY,converted
Sheet1,181,404353,A- SPIXA PISTACHIO CLEAN 1/1KG,19,0,0,19,19,KG,89.748,1705.212,GROCERY,converted
Sheet1,182,404355,A- NASEEL WHITE SESAME SEEDS 1/1KG,2,0,0,2,2,KG,13.8,27.6,GROCERY,converted
Sheet1,183,404596,A-NASEEL LEMON SALT 1/1KG,2,0,0,2,2,KG,19,38,GROCERY,converted
Sheet1,184,404682,A-AL MANAKEL PAPRIKA SWEET JAR 6/1KG,6,0,0,6,6,KG,25.76,154.56,GROCERY,converted
Sheet1,185,404968,NIAZ CORIANDER WHOLE (L189) 1/1KG,15,0,0,15,15,KG,12.096647,181.4497,GROCERY,converted
Sheet1,186,405128,FC FOOD COLOUR RED 6/12/28ML,8,0,0,8,8,PAK,33,264,GROCERY,converted
Sheet1,187,429366,TFG MOONATY LEMON JUICE 12/1LTR,83,0,-4,79,79,EA,4.294038,339.229,GROCERY,converted
Sheet1,188,430698,RASNA POWDERED DRINK MANGO 6/2KG,5,0,-1,4,4,EA,26.66665,106.6666,GROCERY,converted
Sheet1,189,GR000041,SHAN CURRY POWDER 10/1KG,143,0,-2,141,141,EA,19.002413,2679.3403,GROCERY,converted
Sheet1,190,GR000042,SHAN RED CHILLI POWDER 10/1KG,105,0,-3,102,102,EA,19.002124,1938.2166,GROCERY,converted
Sheet1,191,GR000043,SHAN TURMERIC POWDER 10/1KG,115,0,-2,113,113,EA,14.973308,1691.9838,GROCERY,converted
Sheet1,192,GR000553,SHAN CORIANDER POWDER 10/1KG,129,0,0,129,129,KG,14.5,1870.5,GROCERY,converted
Sheet1,193,GR000554,SHAN CUMIN WHOLE 10/1KG,52,0,-1,51,51,KG,22.251359,1134.8193,GROCERY,converted
Sheet1,194,GR000583,SHAN CUMIN POWDER 10/1KG,31,0,-1,30,30,KG,29,870,GROCERY,converted
Sheet1,195,GR001017,SHAN BLACK PEPPER WHOLE 10/1KG,20,0,0,20,20,KG,36,720,GROCERY,converted
Sheet1,196,GR001018,MAA HALEEM MASALA 10/1KG,1,0,0,1,1,KG,33.5,33.5,GROCERY,converted
Sheet1,197,GR001426,NZMP WHOLE MILK POWDER 1/25KG,235,0,0,235,235,KG,23.534685,5530.6509,GROCERY,converted
Sheet1,198,GR001943,SHAN KORMA MASALA 10/1KG,71,0,-1,70,70,KG,45.00915,3150.6405,GROCERY,converted
Sheet1,199,GR002099,MAA NIHARI MASALA 48/60G,46,0,0,46,46,EA,3.22917,148.5418,GROCERY,converted
