site,warehouse,item_code,ingredient_name,quantity,unit,unit_cost,reorder_level,status,item_group,amount
KBR,KBR-384,110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,152,EA,10.916666,0,in_stock,GROCERY,1659.3332
KBR,KBR-384,111278,TFG RIYADH/HAIEL WHITE OATS 24/400G,316,EA,3.480606,0,in_stock,GROCERY,1099.8714
KBR,KBR-384,132822,A-TAFGA SHIFA HONEY 12/500G,11,EA,19.494518,0,in_stock,GROCERY,214.4397
KBR,KBR-384,132827,CAFE EXTRA MILD 12/200G,146,EA,14.574514,0,in_stock,GROCERY,2127.8791
KBR,KBR-384,132875,TFGA CUSTARD POWDER 24/450G,44,EA,7.275509,0,in_stock,GROCERY,320.1224
KBR,KBR-384,132925,GARLIC CUPS DISP WATNIA 20/100CT,68,PAK,3.383235,0,in_stock,GROCERY,230.06
KBR,KBR-384,133054,ELKEIF THAI CHILLI WHOLE 1/5KG,5,KG,25,0,in_stock,GROCERY,125
KBR,KBR-384,133106,BASHAYER PAK VERMICELLI 48/150G,497,EA,0.880132,0,in_stock,GROCERY,437.4254
KBR,KBR-384,133501,A-GLORIA SAN HOT SAUCE 36/3Z,227,EA,0.919458,0,in_stock,GROCERY,208.717
KBR,KBR-384,138855,A-FOOM WHEAT FLOUR 1/45KG,405,KG,0.788889,0,in_stock,GROCERY,319.5
KBR,KBR-384,139364,A-TAFGA MELLOW URID DAL 1/15KG,435,KG,6.798457,0,in_stock,GROCERY,2957.329
KBR,KBR-384,139554,A-AL AMC CORN STARCH 1/25KG,75,KG,2.5996,0,in_stock,GROCERY,194.97
KBR,KBR-384,139779,A-TFG TOMEX BELGIUM VEG BROCOLLI 4/2.5KG,12,EA,23.090125,0,in_stock,GROCERY,277.0815
KBR,KBR-384,139791,A-GEKO FRENCH FRIES SIZE 9X9 4/2.5KG,40,EA,11.859375,0,in_stock,GROCERY,474.375
KBR,KBR-384,139837,TFG BOREAL/TOMEX BELGIUM SPINACH 4/2.5KG,7,PAK,13.500014,0,in_stock,GROCERY,94.5001
KBR,KBR-384,139845,A-TFG FRESHLY FRUIT C/TAIL 6/2.5KG,7,EA,28.202643,0,in_stock,GROCERY,197.4185
KBR,KBR-384,139860,A-ADELCO BURGHUL (FINE)1/15KG,10,KG,3.6,0,in_stock,GROCERY,36
KBR,KBR-384,139862,OBA SEMOLINA 1/15KG,75,KG,4,0,in_stock,GROCERY,300
KBR,KBR-384,139868,AAA WHITE THAI RICE  1/40KG,1840,KG,2.999164,0,in_stock,GROCERY,5518.4612
KBR,KBR-384,140068,A-88 RED KIDNEY BEANS 1/15KG,285,KG,8.633822,0,in_stock,GROCERY,2460.6392
KBR,KBR-384,142007,A-MELLOW PULSE RED LENTIL 1/15KG,345,KG,4.399432,0,in_stock,GROCERY,1517.8039
KBR,KBR-384,145008,A-TAFGA REHAN JELLY S/BERRY 4/3KG,2,EA,25,0,in_stock,GROCERY,50
KBR,KBR-384,147040,TFG NIAZ BAY LEAVES 1/1KG,3,CS,15.260333,0,in_stock,GROCERY,45.781
KBR,KBR-384,147042,AL NASEEL TAFGA P/P WALNUT 1/1KG,1,CS,40.5726,0,in_stock,GROCERY,40.5726
KBR,KBR-384,147047,TFG NIAZ LEMON DRY 1/1KG,6,CS,14.7425,0,in_stock,GROCERY,88.455
KBR,KBR-384,153319,MAWASIM SARDINES TOM/SCE 100/155G,457,EA,2.280014,0,in_stock,GROCERY,1041.9665
KBR,KBR-384,154783,TAFGA SB FRENCH FRIES 4/2.5KG,6,EA,13.56375,0,in_stock,GROCERY,81.3825
KBR,KBR-384,155583,A-TAFGA ADELCO HAREES TURKEY 1/10KG,40,KG,4.310558,0,in_stock,GROCERY,172.4223
KBR,KBR-384,161290,A-TFGA AFFCO TOMATO KETCHUP 4/5KG,19,EA,23.918847,0,in_stock,GROCERY,454.4581
KBR,KBR-384,166780,TAFGA REHAN SALT IODIZED 24/700G,12,EA,0.79,0,in_stock,GROCERY,9.48
KBR,KBR-384,174476,AFCO COCONUT MILK POWDER 12/300G,72,EA,9.580833,0,in_stock,GROCERY,689.82
KBR,KBR-384,176065,AL OSRA SUGAR FINE 10/2KG,18,EA,7.235844,0,in_stock,GROCERY,130.2452
KBR,KBR-384,179312,(TAFGA) MAWASIM KETCHUP 24/340G,259,EA,2.275539,0,in_stock,GROCERY,589.3646
KBR,KBR-384,179550,A-AFFCO RICE STK (P/BIHON) 30/227G-212012,124,EA,4.100905,0,in_stock,GROCERY,508.5122
KBR,KBR-384,180576,TAFGA CAMEL PICKLE MIXED 12/400G,112,EA,5.333775,0,in_stock,GROCERY,597.3828
KBR,KBR-384,180808,A-TAFGA MELLOW DAL MOONG WHL 1/15KG,90,KG,5.866667,0,in_stock,GROCERY,528
KBR,KBR-384,185208,TAFGA OLIVE OIL 12/500ML,12,EA,11.67905,0,in_stock,GROCERY,140.1486
KBR,KBR-384,185539,COCONUT MILK POWDER  12/300G,38,EA,13.877866,0,in_stock,GROCERY,527.3589
KBR,KBR-384,185818,A-TFG FRESHLY BASIL LEAVES U.S  6/5Z,7,EA,22.438929,0,in_stock,GROCERY,157.0725
KBR,KBR-384,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,36,EA,53.26765,0,in_stock,GROCERY,1917.6354
KBR,KBR-384,185837,A-TAFGA FRESHLY WHT PEPPER PDWR 6/16Z,16,EA,70.552275,0,in_stock,GROCERY,1128.8364
KBR,KBR-384,187167,TAFGA HOMMOS TAHINA 24/380G,85,EA,2.208331,0,in_stock,GROCERY,187.7081
KBR,KBR-384,188559,A-FOOM WHITE FLOUR 1/45KG,630,KG,0.611111,0,in_stock,GROCERY,385.0002
